city,state,lat,lng
Abbeville,Louisiana,29.9746502,-92.1342921
Abbeville,South Carolina,34.1779495,-82.3792463
Abbott,Texas,31.8898922,-97.0870183
Aberdeen,Idaho,42.9440784,-112.8383265
Aberdeen,Maryland,39.5095556,-76.1641197
Aberdeen,North Carolina,35.131547,-79.4294789
Aberdeen,South Dakota,45.4649805,-98.487813
Aberdeen,Washington,46.975371,-123.815722
Aberdeen Proving Ground,Maryland,39.4679716,-76.1324354
Abilene,Kansas,38.917252,-97.21377
Abilene,Texas,32.44645,-99.7475905
Abingdon,Maryland,39.4623305,-76.2791236
Abingdon,Virginia,36.7095788,-81.9774878
Abington,Massachusetts,42.1048228,-70.9453218
Abington,Pennsylvania,40.1206656,-75.1179512
Absecon,New Jersey,39.4284503,-74.4957076
Accokeek,Maryland,38.6676168,-77.0283092
Ackley,Iowa,42.5539385,-93.0526788
Acme,Pennsylvania,40.1267392,-79.4286473
Acra,New York,42.3109186,-74.0554126
Acton,California,34.4807415,-118.1868379
Acton,Massachusetts,42.4850931,-71.43284
Acushnet,Massachusetts,41.6806593,-70.907816
Acworth,Georgia,34.0659329,-84.6768796
Ada,Oklahoma,34.7743383,-96.6783651
Ada,Ohio,38.8398935,-83.5051704
Ada,Michigan,42.9547136,-85.4879523
Ada,Minnesota,47.299689,-96.5153463
Adair,Iowa,41.3127814,-94.4953303
Adair Village,Oregon,44.6722633,-123.2183372
Adairsville,Georgia,34.3687021,-84.9341093
Adams,Minnesota,43.565067,-92.7185344
Adams,Tennessee,36.5823718,-87.0655751
Adamsville,Alabama,33.6009389,-86.9561059
Adamsville,Tennessee,35.2359146,-88.3905965
Addison,Texas,32.9604305,-96.8302595
Addison,Illinois,41.931696,-87.9889556
Adel,Georgia,31.1371358,-83.4234936
Adel,Iowa,41.6175278,-94.0183875
Adelphi,Maryland,39.0030666,-76.9721023
Adkins,Texas,29.3930129,-98.2372329
Adrian,Michigan,41.8975152,-84.0373054
Advance,North Carolina,35.9412482,-80.4092217
Advance,Indiana,39.9958763,-86.620004
Advance,Missouri,37.1044958,-89.9106494
Affton,Missouri,38.5506084,-90.3331719
Afton,Wyoming,42.7249686,-110.9318384
Agawam,Massachusetts,42.0695391,-72.6148117
Agoura Hills,California,34.14791,-118.7657042
Ahoskie,North Carolina,36.2868223,-76.9846808
Aiea,Hawaii,21.3822222,-157.9336111
Aiken,South Carolina,33.5598586,-81.721952
Ailey,Georgia,32.1874042,-82.5656886
Ainsworth,Iowa,41.2889098,-91.5523838
Airmont,New York,41.1009293,-74.1162544
Airville,Pennsylvania,39.8323244,-76.4063509
Airway Heights,Washington,47.644611,-117.5932728
Aitkin,Minnesota,46.5714822,-93.3847595
Ajo,Arizona,32.3933515,-112.902723
Akron,Iowa,42.8288818,-96.5594773
Akron,New York,43.0150996,-78.49455
Akron,Ohio,41.083064,-81.518485
Alabaster,Alabama,33.2442813,-86.8163773
Alameda,California,37.6090291,-121.899142
Alamo,California,37.8502033,-122.032184
Alamo,New Mexico,34.415192,-107.5001679
Alamo,Tennessee,35.7847949,-89.1172883
Alamo,Texas,26.1836854,-98.1230638
Alamogordo,New Mexico,32.8997997,-105.9603398
Alamosa,Colorado,37.469877,-105.8696009
Albany,New York,42.6511674,-73.754968
Albany,Oregon,44.6365071,-123.1059324
Albany,Missouri,40.2486069,-94.331068
Albany,Minnesota,45.6299647,-94.5700048
Albany,Indiana,40.3008764,-85.2419145
Albany,Georgia,31.5782062,-84.1556809
Albany,California,37.88687,-122.2977475
Albany County,New York,42.5986896,-73.9843997
Albemarle,North Carolina,35.3501426,-80.2000578
Albers,Illinois,38.5433823,-89.6123129
Albert Lea,Minnesota,43.6480127,-93.3682656
Albertson,New York,40.7734341,-73.6431844
Albertville,Minnesota,45.2363165,-93.6581301
Albertville,Alabama,34.2675937,-86.2088669
Albia,Iowa,41.0266746,-92.8057514
Albion,Indiana,41.3956043,-85.4244241
Albion,Iowa,42.1124866,-92.9885339
Albion,New York,43.246488,-78.193516
Albrightsville,Pennsylvania,41.0164681,-75.613172
Albuquerque,New Mexico,35.0841034,-106.6509851
Alburtis,Pennsylvania,40.5109297,-75.6029653
Alcoa,Tennessee,35.7895271,-83.9737935
Alden,Iowa,42.5085356,-93.3728483
Alden,New York,42.9000596,-78.4919671
Alderson,West Virginia,37.7222846,-80.6466114
Aldie,Virginia,38.9758064,-77.6428403
Aledo,Illinois,41.1997568,-90.7493063
Aledo,Texas,32.6990091,-97.6039663
Alexander,North Carolina,35.924738,-81.1716315
Alexander,North Dakota,47.843076,-103.642698
Alexander City,Alabama,32.944012,-85.9538532
Alexandria,Indiana,40.2628184,-85.675809
Alexandria,Kentucky,38.9595078,-84.3879946
Alexandria,Louisiana,31.311248,-92.4449087
Alexandria,Minnesota,45.8861603,-95.3795329
Alexandria,New Hampshire,43.61172,-71.792908
Alexandria,New Jersey,39.1670389,-74.7505275
Alexandria,Virginia,38.8147596,-77.0902477
Alexandria Bay,New York,44.336127,-75.917931
Alexis,Illinois,41.0633703,-90.5559675
Alfred,New York,42.2542366,-77.7905509
Algodones,New Mexico,35.3805931,-106.4791925
Algoma,Wisconsin,44.6107841,-87.4387358
Algona,Iowa,43.0699663,-94.233019
Algona,Washington,47.2784027,-122.2542238
Algonac,Michigan,42.6183675,-82.531018
Algonquin,Illinois,42.1655801,-88.2942493
Alhambra,California,34.093042,-118.12706
Alhambra,Illinois,38.88838,-89.7314813
Alice,Texas,27.7522487,-98.0697249
Aliquippa,Pennsylvania,40.6102386,-80.267726
Aliso Viejo,California,33.5761376,-117.7258122
Allegan,Michigan,42.5867203,-85.8861492
Allegany,New York,42.2446061,-78.0419281
Allen,Texas,33.1031744,-96.6705503
Allen Park,Michigan,42.2595071,-83.2107671
Allendale,New Jersey,41.0414858,-74.129032
Allendale,South Carolina,32.9635006,-81.3400056
Allendale Charter Township,Michigan,42.982786,-85.9498141
Allensville,Kentucky,36.7167081,-87.0661104
Allentown,New Jersey,40.1778887,-74.5834887
Allentown,Pennsylvania,40.6022059,-75.4712794
Allenwood,Pennsylvania,41.108604,-76.8972709
Alliance,Nebraska,42.1000872,-102.8706439
Alliance,Ohio,40.9153362,-81.1059309
Alloway,New Jersey,39.5617245,-75.3526118
Alma,Wisconsin,44.3199654,-91.9148839
Alma,Nebraska,40.097511,-99.362043
Alma,Michigan,43.37892,-84.659727
Alma,Georgia,41.6991818,42.4837434
Alma,Arkansas,35.4778653,-94.2218752
Aloha,Oregon,45.4942838,-122.8670451
Alpena,Michigan,45.0616794,-83.4327528
Alpharetta,Georgia,34.0709576,-84.2747329
Alpine,Alabama,33.348722,-86.2385859
Alpine,California,38.5893934,-119.8345013
Alpine,Texas,30.3573802,-103.6609367
Alpine,Utah,40.4532834,-111.7779865
Alsip,Illinois,41.6689223,-87.7386619
Alta,Iowa,42.6710569,-95.3036348
Altadena,California,34.1863161,-118.1352329
Altamonte Springs,Florida,28.6649055,-81.3762686
Altavista,Virginia,37.1118094,-79.285579
Alto,New Mexico,35.9789244,-105.308068
Alton,Illinois,38.8906038,-90.1842764
Alton,New Hampshire,43.452919,-71.218185
Altona,New York,44.888472,-73.655777
Altoona,Wisconsin,44.8046825,-91.4432148
Altoona,Pennsylvania,40.518681,-78.394736
Altoona,Alabama,34.0262082,-86.3260923
Altoona,Iowa,41.6441557,-93.4646571
Altura,Minnesota,44.0716301,-91.9396022
Alturas,California,41.487123,-120.5423271
Altus,Oklahoma,34.6381255,-99.3339754
Alva,Florida,26.7156236,-81.6100797
Alvin,Texas,29.4238472,-95.2441009
Amalia,New Mexico,36.941968,-105.4544519
