,__CLASS__,adref,category.__CLASS__,category.label,category.tag,company.__CLASS__,company.display_name,contract_time,contract_type,created,description,id,latitude,location.__CLASS__,location.area,location.display_name,longitude,query_url,redirect_url,salary_is_predicted,title
0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoxMzEyODA1MDkzLCJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyJ9.m54sb_-4e_iZZWMWsxFU5k2gWIOuYfibBxI_o9ruQW8,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-10-25T12:38:41Z,"A family physician opportunity is needed at a hospital in New York. The community has growing demand, so the facility is accepting new candidates. There is a teaching component to this position. The schedule is traditional and you will see 20 to 22 patients per day on average. Call is 1:8. You will work closely with advanced practice providers and other primary care physicians. The facility is accepting candidates who are board certified or board eligible. A NY license will be required, and the…",1312805093,44.239491,Adzuna::API::Response::Location,"['US', 'New York', 'Jefferson County', 'Clayton']","Clayton, Jefferson County",-76.085776,page number 1,https://www.adzuna.com/land/ad/1312805093?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=6154F3C311BEF199FC32BF25DC2D16CE10E1C09F,0,Physician: Family Physician Job Opening in Upstate New York | JOB-2360999
1,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoxMzEyODA1OTAxLCJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyJ9.ZoFnU5zKtpc9HZBGYGKiR02c2cxSnEbI1YY3Yzd5py8,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-10-25T12:38:57Z,"A urologist is needed for a practice in western Ohio. It is a full-time employed position, available due to the areas growth. The work schedule will be Monday to Friday from 9 am to 5 pm and there will be a 1:2 shared call with another urologist that is in a private practice. You should currently have or be willing to secure an Ohio license. You will need to be board certified or eligible to apply. You will receive a competitive compensation, ample PTO, full medical, dental, and vision benefits…",1312805901,40.305232,Adzuna::API::Response::Location,"['US', 'Ohio']","Ohio, US",-82.824785,page number 1,https://www.adzuna.com/land/ad/1312805901?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=B81F7CC2E8422B0326D39D91F8B6490E4C7CA7FF,0,Physician: Urology Need in Western Ohio with Large Sign-On | JOB-2359187
2,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyIsImkiOjEzMjgyNDE5MzF9.aTJdtbASEFZyyWMvYqCMw8CQ5fCnzsxoxP0lDe7Q9iM,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-11-06T20:28:13Z,"An exciting internal medicine physician opportunity is now available at an outpatient facility in Connecticut. They need to hire another physician due to a growing patient demand. Your schedule will be Monday through Friday, and a very light phone call schedule shared among group. If hired, you can expect to see 20 to 24 patients per day on average. You will work closely with a great group of physicians and mid-levels. This position will require a current CT license, and CompHealth’s licensing …",1328241931,41.508367,Adzuna::API::Response::Location,"['US', 'Connecticut', 'New Haven County', 'Cheshire']","Cheshire, New Haven County",-72.91062,page number 1,https://www.adzuna.com/land/ad/1328241931?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=BF0D2CDCC0F6D2C8B1756CAA199C564476C1E5C3,0,"Physician: Internal Medicine Physician Job in Cheshire, Connecticut | JOB-2538859"
3,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoxMzM0NTAyNDYzLCJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyJ9.LnSASN3VwxlXQbwxFhzqMVl7jCd4HAg-C6KJC4ljoA8,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-11-11T22:10:17Z,"A facility in Illinois seeks an otolaryngologist to assist with locum tenens coverage. The assignment schedule is Monday – Friday and will consist of surgery, clinic, and call. You must be board certified. Physicians who don't hold a current IL state license can work with CompHealth to obtain one. CompHealth has a variety of assignments to choose from–with the length, location, and level of pay you’re looking for. Quick Facts: Certification: BC required License: IL state license needed, not req…",1334502463,37.730605,Adzuna::API::Response::Location,"['US', 'Illinois', 'Williamson County', 'Marion']","Marion, Williamson County",-88.933126,page number 1,https://www.adzuna.com/land/ad/1334502463?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=A1AC02F8A82103A3642ED1F2CAB57C0970E8FACD,0,Physician: A Locums Otolaryngologist Is Wanted in IL | JOB-2604839
4,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyIsImkiOjEzMTI4MDU3MTl9.atixo9di_RnNvSyJmpbHnrgsPAtAPcUAAyLCLKjREGA,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-10-25T12:38:53Z,"A private multi-specialty group is looking for a hospitalist with recent inpatient experience to round on their patients. You will enjoy a predictable blocked schedule of seven days on and seven days off. They welcome family practice and internal medicine trained physicians. They offer a competitive salary, along with a comprehensive benefit package including paid vacation time, reimbursement for licensing fees, and a CME allowance. Partnership for employee physicians is available following two…",1312805719,41.601859,Adzuna::API::Response::Location,"['US', 'Connecticut']","Connecticut, US",-72.657316,page number 1,https://www.adzuna.com/land/ad/1312805719?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=5A0DBBDB8021D7BAAC34348020D15FEA34FEB246,0,"Physician: Hospitalist needed in Hartford, CT suburbs | JOB-2557980"
5,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyIsImkiOjEzMTI4MDQ5MjB9.g-CQ_4Kk4rhgZarlnxNmDzFHaaDOFCqGWS8OTm83LKQ,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-10-25T12:38:31Z,"A highly-respected practice in Vermont needs additional support. The are hiring a family practice, internal medicine, or Med Ped physician for their innovative primary care office. The schedule is Monday through Friday from 8 am to 5 pm, or you can work four 10-hour days. The phone-only call will be approximately one weekend every six weeks, and one weekday per month. You can expect to see 16 to 18 patients per day on average. This practice has a strong and experienced ancillary staff. Our phys…",1312804920,44.022931,Adzuna::API::Response::Location,"['US', 'Vermont', 'Addison County', 'Middlebury']","Middlebury, Addison County",-73.145015,page number 1,https://www.adzuna.com/land/ad/1312804920?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=F157C6C41818B2E0F0E3841E1E32B4B34581EDE3,0,"Physician: Outpatient Primary Care Physician Needed in Middlebury, Vermont | JOB-2550507"
6,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyIsImkiOjEzMTI4MDUxMTV9.sbHjXOC1Hjph0hTjf8gsXDy0loKmpRq35ppDVeDIFW4,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-10-25T12:38:42Z,"An outstanding primary care outpatient opportunity in California. They are looking for physicians with part-time availability. They are offering a flexible work schedule of 20 to 24 hours per week, two to three days each week. You will see an average of three to four patients per hour in a community clinic. You will see adult, children, and geriatric patients. They welcome fellows, board certified, and board eligible candidates. This permanent position offers a generous base salary plus a sign-…",1312805115,33.160642,Adzuna::API::Response::Location,"['US', 'California', 'San Diego County', 'Vista']","Vista, San Diego County",-117.238216,page number 1,https://www.adzuna.com/land/ad/1312805115?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=D30AFB4CEA06C6F97C1DA8038C27AD0E2336F4AD,0,Physician: Outpatient Family or Internal Medicine Physician Needed for San Diego CA Area | JOB-2493870
7,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoxMzEyODA1ODY2LCJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyJ9.DZ4lJTrolKfKTWhd-9pnXwvREqc1po4ROyv6gVMwTYM,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-10-25T12:38:56Z,"An exciting family medicine with OB opportunity is now available at a community health center near Indianapolis. The community has a great need, so the facility is accepting new candidates. This is an outpatient FP practice working either a four or four and a half day work week with nurse triage call first and a 1:6 call that requires no hospital coverage. You can expect to see three patients per clinical hour on average. You will work closely with another family physician who does OB and share…",1312805866,40.621455,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Indiana County', 'Indiana']","Indiana, Indiana County",-79.152535,page number 1,https://www.adzuna.com/land/ad/1312805866?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=8A8B0562CF4D79B22F04BD3BBE0A3EA0A529A6C4,0,Physician: Family Medicine with OB Near Indianapolis IN with 4 Day Work Week | JOB-2502099
8,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoxMzEyODA1NDU1LCJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyJ9.g-3K6Ieq6HWQNOeRIfNCrWnNL4NYiB5HVRy-xHZ_JbI,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-10-25T12:38:49Z,"A family medicine physician opening is available at a primary care group in Montana. The community has growing demand, so the facility is accepting new applicants who are board certified or board eligible. You will work in an urgent care and walk-in setting or in a specialty outpatient center. The schedule is Monday through Friday, 8 am to 5 pm with 1:5 call. You will see 20 to 25 patients per day on average. You will be supported by a hospitalist team that shares the call. This position will r…",1312805455,47.515458,Adzuna::API::Response::Location,"['US', 'Montana', 'Cascade County', 'Great Falls']","Great Falls, Cascade County",-111.280357,page number 1,https://www.adzuna.com/land/ad/1312805455?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=C5E71965DC0D268AA21DA68380182F364C60ACEE,0,Physician: Family Medicine Physician Job Opening in Great Falls MT | JOB-2439305
9,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoxMzEyODA1ODE5LCJzIjoiYkR5b01pMkhSQ2VYczJqdVdFVDRrZyJ9.jeNG9uGkkwI2ACIkl_sC5BP91vT6L0a_R4a5nJDKmp0,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,CompHealth,,,2019-10-25T12:38:55Z,"Northern Ohio opportunity for pediatrician to join hospital-owned pediatric group. Be part of a prestigious health system. This is a 100% outpatient position. You will work a 4.5-day workweek, there is no C-section or delivery coverage. This opportunity has a great compensation package with all the benefits. You will be offered 5 weeks of PTO, retirement plan with match, loan repayment, CME time with stipend, and malpractice paid. Located on Lake Erie's coastline and about an hour from Clevelan…",1312805819,40.305232,Adzuna::API::Response::Location,"['US', 'Ohio']","Ohio, US",-82.824785,page number 1,https://www.adzuna.com/land/ad/1312805819?se=bDyoMi2HRCeXs2juWET4kg&utm_medium=api&utm_source=a9ccf687&v=C9AC8AB0DC7035B24BE68D6EBC1EA233E8931B5A,0,"Physician: Pediatrician- 100% Outpatient, Live in Northern Ohio on the Water | JOB-2386617"
